Row Labels,CC,MAC,Manducare,Miu Spa,Miu Toys,NM,Poli,Telekonseling ,VT,Cluster
RNA,0,0,0,1,0,1,1,0,0,3
RP,0,0,0,0,0,1,1,0,0,3
RPS,0,0,0,0,0,0,1,0,0,5
RR,0,1,1,1,0,1,1,0,0,0
RRA,0,0,0,0,0,0,1,0,0,5
RS,0,0,1,0,0,1,1,0,0,0
RSAA,0,0,0,0,0,0,1,0,0,4
RSK,0,0,0,0,0,0,1,0,0,5
RSR,0,0,0,1,0,1,0,0,0,5
RT,0,0,0,0,0,0,1,0,0,5
RY,0,0,0,0,0,1,0,0,0,5
RZ,0,0,1,0,0,1,1,0,0,3
RZA,0,0,1,0,0,0,1,0,0,3
SA,1,1,1,1,0,1,1,0,0,0
SAA,0,0,0,0,0,1,1,0,0,5
SAF,0,0,0,0,0,0,1,0,0,5
SAI,0,0,0,1,0,0,0,0,0,5
SAM,0,0,0,0,0,0,1,0,0,5
SAN,0,0,0,1,0,0,1,0,0,5
SAR,0,0,0,0,0,1,0,0,0,4
SAS,0,0,0,1,0,0,0,0,0,5
SB,0,0,0,1,0,0,1,0,0,3
SC,0,0,0,1,0,0,0,0,0,5
SD,0,0,0,0,0,1,1,0,0,3
SDH,0,0,0,0,0,1,0,0,0,5
SEH,0,0,0,0,0,1,0,0,0,5
SF,0,0,0,0,0,1,1,0,0,4
SG,0,0,0,0,0,0,1,0,0,5
SGD,0,0,0,0,0,0,1,0,0,5
SGVE,0,0,0,0,0,0,1,0,0,5
SH,0,0,0,0,0,0,1,0,0,4
SHA,0,0,0,0,0,0,1,0,0,5
SJ,0,0,1,0,0,0,1,0,0,5
SK,1,0,0,1,0,1,1,0,0,0
SKF,0,0,0,0,0,0,1,0,0,5
SL,0,0,0,1,0,0,1,0,0,3
SM,0,1,0,1,0,1,1,0,0,0
SMA,0,0,0,0,0,0,1,0,0,4
SN,0,0,0,1,0,1,1,0,0,0
SNA,0,0,0,0,0,1,0,0,0,5
SNM,0,0,0,0,0,0,1,0,0,4
SO,0,0,0,0,0,1,0,0,0,4
SP,0,0,0,0,0,0,1,0,0,4
SQA,0,0,1,0,0,0,1,0,0,5
SR,0,0,0,1,1,1,1,0,0,1
SS,0,0,0,0,0,1,1,0,0,0
ST,0,0,0,0,0,0,1,0,0,5
SUB,0,0,0,0,0,0,1,0,0,4
SZ,0,0,1,1,1,1,1,0,0,3
SZD,0,0,0,1,0,0,0,0,0,5
TA,0,0,1,0,0,1,1,0,0,4
TAS,0,0,0,0,0,1,0,0,0,4
TBTD,0,0,1,0,0,0,0,0,0,5
TD,0,0,1,0,0,0,1,0,0,3
TE,0,0,0,0,0,1,0,0,0,5
TH,0,0,0,0,0,0,1,0,0,4
TKDH,0,0,0,0,0,1,0,0,0,4
