NO;Row Labels;M;F;R;L;P;NM;NF;NR;NL;NP
372;MT;730000;1;566;0;0;0.024;0;0.781;0;0
373;MTC;488000;5;407;321;133.12;0.016;0.019;0.561;0.441;0.275
374;MTR;380000;1;426;0;0;0.012;0;0.588;0;0
375;MUA;380000;1;558;0;0;0.012;0;0.77;0;0
376;MUAQ;365000;2;200;0;0;0.012;0.005;0.276;0;0
377;MUR;170000;1;97;0;0;0.005;0;0.134;0;0
378;MX;140000;1;68;0;0;0.004;0;0.094;0;0
379;MXA;130000;2;73;0;0;0.004;0.005;0.101;0;0
380;MXAM;170000;2;249;0;0;0.005;0.005;0.343;0;0
381;MY;190000;3;395;132;90.51;0.006;0.01;0.545;0.181;0.187
382;MYH;380000;1;17;0;0;0.012;0;0.023;0;0
383;MYK;410000;1;88;0;0;0.013;0;0.121;0;0
384;MZ;192037.736;106;2;726;8.976;0.006;0.507;0.003;0.997;0.019
385;MZA;480000;5;320;130;34.22;0.015;0.019;0.441;0.179;0.071
386;MZF;145000;1;697;0;0;0.004;0;0.961;0;0
387;MZH;380000;1;451;0;0;0.012;0;0.622;0;0
388;MZK;140000;1;239;0;0;0.004;0;0.33;0;0
389;MZP;175000;2;110;145;0;0.005;0.005;0.152;0.199;0
390;MZR;380000;1;473;0;0;0.012;0;0.652;0;0
391;MZX;730000;1;477;0;0;0.024;0;0.658;0;0
392;MZY;472500;4;299;89;14.742;0.015;0.014;0.412;0.122;0.03
393;NA;194756.098;41;0;716;28.109;0.006;0.193;0;0.984;0.058
394;NAD;240000;1;362;0;0;0.007;0;0.499;0;0
395;NAH;410000;1;86;0;0;0.013;0;0.119;0;0
396;NAJ;380000;1;74;0;0;0.012;0;0.102;0;0
397;NAP;170000;2;82;14;0;0.005;0.005;0.113;0.019;0
398;NAZ;380000;1;305;0;0;0.012;0;0.421;0;0
399;NB;130000;2;647;1;0;0.004;0.005;0.892;0.001;0
400;NE;90000;1;512;0;0;0.002;0;0.706;0;0
